"Timestamp","DOI","IP identifier","User identifier","Country according to GeoIP","City according to GeoIP","Latitude","Longitude"
"2017-07-24 04:10:53","10.1126/science.aaa9092",412822,23602799,"Canada","Beaconsfield","45.4309308","-73.8682835"
"2017-09-12 05:09:29","10.1246/bcsj.49.2384",2457885,34197953,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-02 22:23:49","10.1039/C6RA18897D",6033232,9229642,"Canada","Toronto","43.653226","-79.3831843"
"2017-01-01 00:38:13","10.1525/rep.2009.108.1.76",1564,1932,"Canada","Mont-Tremblant","46.1184616","-74.5961852"
"2017-05-03 12:01:09","10.1021/jp809992g",2123860,9303720,"Canada","Mississauga","43.5890452","-79.6441198"
"2017-05-03 14:00:35","10.1021/jp809992g",5994420,9316591,"Canada","Toronto","43.653226","-79.3831843"
"2017-07-07 18:28:34","10.1149/1.1912018",789000,9112023,"Canada","Calgary","51.0486151","-114.0708459"
"2017-11-30 19:58:00","10.1139/f71-253",15107769,42897625,"Canada","Baie-Comeau","49.2212971","-68.1503944"
"2017-08-16 18:44:57","10.1001/jama.1957.02980290001001",11491410,29700257,"Canada","Martensville","52.2931212","-106.6578378"
"2017-06-15 00:47:57","10.1007/s10934-017-0373-6",5995770,15150738,"Canada","Toronto","43.653226","-79.3831843"
"2017-10-02 00:21:15","10.1162/isec.23.3.43",13811511,37774658,"Canada","Montréal","45.5016889","-73.567256"
"2017-09-30 11:05:14","10.1246/bcsj.62.2307",5171183,37594717,"Canada","Toronto","43.653226","-79.3831843"
"2017-02-26 20:57:29","10.1525/rep.2009.108.1.1",2518883,424236,"Canada","Montréal","45.5016889","-73.567256"
"2017-05-03 23:11:18","10.1149/1.2430313",3218606,9375462,"Canada","Toronto","43.653226","-79.3831843"
"2017-08-12 23:44:19","10.1126/science.128.3326.691",828699,28922950,"Canada","Toronto","43.653226","-79.3831843"
"2017-01-27 19:23:54","10.3233/BMR-150500",211944,203835,"Canada","Trail","49.0965676","-117.7117301"
"2017-09-18 11:57:14","10.1016/S0014-2999(96)00714-5",12957904,35172609,"Canada","Toronto","43.653226","-79.3831843"
"2017-01-23 23:31:28","10.2307/1918842",10,2015135,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-19 00:22:51","10.1177/0013164495055005017",195693,11427384,"Canada","Toronto","43.653226","-79.3831843"
"2017-08-29 19:05:21","10.1021/jp9813342",11790063,32033608,"Canada","Temiskaming Shores","47.4793748","-79.7121299"
"2017-05-22 15:56:25","10.1126/science.aaa9092",412822,11830683,"Canada","Beaconsfield","45.4309308","-73.8682835"
"2017-09-14 05:47:29","10.1162/isec.23.3.43",11959560,34506423,"Canada","Montréal","45.5016889","-73.567256"
"2017-05-18 07:41:38","10.1002/dap.30253",5997230,11308096,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-02 23:26:16","10.1039/C6RA18897D",6039611,9234555,"Canada","Toronto","43.653226","-79.3831843"
"2017-08-06 03:50:56","10.1093/beheco/arx008",10442142,27406607,"Canada","Squamish","49.7016339","-123.1558121"
"2017-08-06 22:40:06","10.1021/j100139a032",1507322,27582889,"Canada","Toronto","43.653226","-79.3831843"
"2017-09-07 06:23:13","10.1016/0009-2509(81)80026-7",858831,33435000,"Canada","Toronto","43.653226","-79.3831843"
"2017-03-01 02:19:16","10.1023/A:1021369327584",3208967,4664388,"Canada","Vancouver","49.2827291","-123.1207375"
"2017-02-22 01:48:19","10.1038/nmeth.1515",2827512,3010819,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-03 19:58:12","10.1002/anie.201605430",5998246,9355684,"Canada","Toronto","43.653226","-79.3831843"
"2017-06-22 00:28:50","10.1137/120867366",8740120,16186250,"Canada","Toronto","43.6689775","-79.2902133"
"2017-05-04 18:31:48","10.1111/hypa.12327",607898,8372070,"Canada","Chestermere","51.0498087","-113.8233018"
"2017-05-03 12:29:09","10.1021/jp809992g",216939,9306897,"Canada","Toronto","43.653226","-79.3831843"
"2017-01-31 16:50:30","10.1161/CIRCULATIONAHA.107.720300",27449,39817,"Canada","Toronto","43.653226","-79.3831843"
"2017-07-22 23:41:00","10.1017/S0033291715002317",10231657,23345432,"Canada","Toronto","43.6689775","-79.2902133"
"2017-09-07 09:23:00","10.1002/macp.201090020",941416,33457055,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-03 13:31:50","10.1021/jp809992g",1560681,9313801,"Canada","Mississauga","43.5890452","-79.6441198"
"2017-07-29 12:17:29","10.1175/JCLI-D-16-0526.1",10553830,24940412,"Canada","Calgary","51.0486151","-114.0708459"
"2017-05-03 14:51:43","10.1021/jp809992g",5995872,9321401,"Canada","Saint-Quentin","47.5119159","-67.3921287"
"2017-01-01 14:48:46","10.1161/CIRCULATIONAHA.107.720300",27449,39817,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-02 11:32:37","10.1021/la5004484",6039614,9169271,"Canada","Toronto","43.653226","-79.3831843"
"2017-04-30 01:06:38","10.2136/sssaj1995.03615995005900050039x",4824784,8876362,"Canada","Dutch Brook","46.0662983","-60.2011704"
"2017-08-30 13:17:00","10.1145/954587.954588",12037131,32188050,"Canada","Toronto","43.653226","-79.3831843"
"2017-06-07 01:18:55","10.1006/gcen.1994.1160",7809157,13932433,"Canada","Baddeck","46.0999169","-60.754676"
"2017-07-29 05:38:18","10.1080/13691058.2016.1191675",10500732,24873902,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-13 21:21:13","10.1074/jbc.R300017200",27449,39817,"Canada","Toronto","43.653226","-79.3831843"
"2017-02-25 05:32:23","10.1016/S2214-109X(16)30188-7",2997937,4305282,"Canada","Montreal","45.5016889","-73.567256"
"2017-06-24 16:27:17","10.1086/302365",8847501,39852,"Canada","Toronto","43.6689775","-79.2902133"
"2017-03-13 21:28:27","10.1080/09581596.2014.904039",2295256,5750302,"Canada","Hamilton","43.2500208","-79.8660914"
"2017-05-03 23:28:26","10.1149/1.2430313",2457885,9376895,"Canada","Toronto","43.653226","-79.3831843"
"2017-06-24 23:36:15","10.1126/science.aaa9092",412822,16609442,"Canada","Beaconsfield","45.4309308","-73.8682835"
"2017-09-13 06:22:03","10.1177/109467059800100102",2563589,33411092,"Canada","Whistler","50.1163196","-122.9573563"
"2017-05-02 18:01:23","10.1038/nature18309",27449,39817,"Canada","Toronto","43.653226","-79.3831843"
